Customer ID	Full Name	Date of Purchase	Age	State	MTN Device	Gender	Satisfaction Rate	Customer Review	Customer Tenure in months	Subscription Plan	 Unit Price 	Number of Times Purchased	 Total Revenue 	Data Usage (gb)	Customer Churn Status	Reasons for Churn
CUST0007	Boma Stewart	3/25/25	24	Jigawa	Broadband MiFi	Female	5	Excellent	39	120GB Monthly Broadband Plan	" ?24,000 "	11	" ?264,000 "	150.3	Yes	Relocation
CUST0008	Ifeanyi Park	1/25/25	53	Kwara	Broadband MiFi	Male	3	Good	30	300GB FUP Monthly Unlimited	" ?30,000 "	17	" ?510,000 "	168.41	No	
CUST0009	Bala Robbins	1/25/25	35	Gombe	Broadband MiFi	Male	5	Excellent	35	300GB FUP Monthly Unlimited	" ?30,000 "	10	" ?300,000 "	175.81	No	
CUST0010	Halima Ochoa	3/25/25	23	Imo	4G Router	Male	1	Poor	6	10GB+10mins Monthly Plan	" ?4,500 "	20	" ?90,000 "	53.38	No	
CUST0010	Halima Ochoa	3/25/25	23	Imo	Broadband MiFi	Male	1	Poor	6	60GB Monthly Broadband Plan	" ?14,500 "	18	" ?261,000 "	192.89	No	
CUST0010	Halima Ochoa	3/25/25	23	Imo	Mobile SIM Card	Male	1	Poor	6	500MB Daily Plan	 ?350 	13	" ?4,550 "	142.73	No	
CUST0011	Ejiro Griffith	2/25/25	72	Bauchi	4G Router	Female	2	Fair	8	65GB Monthly Plan	" ?16,000 "	2	" ?32,000 "	14.66	Yes	Poor Network
CUST0011	Ejiro Griffith	2/25/25	72	Bauchi	5G Broadband Router	Female	2	Fair	8	60GB Monthly Broadband Plan	" ?14,500 "	2	" ?29,000 "	13.95	Yes	Poor Network
CUST0011	Ejiro Griffith	2/25/25	72	Bauchi	Broadband MiFi	Female	2	Fair	8	300GB FUP Monthly Unlimited	" ?30,000 "	8	" ?240,000 "	14.64	Yes	Poor Network
CUST0012	Zainab Morton	3/25/25	78	Ondo	4G Router	Male	2	Fair	47	65GB Monthly Plan	" ?16,000 "	12	" ?192,000 "	131.97	No	
CUST0012	Zainab Morton	3/25/25	78	Ondo	Broadband MiFi	Male	2	Fair	47	60GB Monthly Broadband Plan	" ?14,500 "	2	" ?29,000 "	82.51	No	
CUST0013	Ngozi Moreno	1/25/25	23	Kebbi	4G Router	Female	2	Fair	52	10GB+10mins Monthly Plan	" ?4,500 "	8	" ?36,000 "	56.07	Yes	Relocation
CUST0013	Ngozi Moreno	1/25/25	23	Kebbi	Mobile SIM Card	Female	2	Fair	52	3.2GB 2-Day Plan	" ?1,000 "	18	" ?18,000 "	88.9	Yes	Relocation
CUST0014	Ngozi Crawford	2/25/25	22	Adamawa	4G Router	Male	2	Fair	6	65GB Monthly Plan	" ?16,000 "	1	" ?16,000 "	33.35	No	
CUST0014	Ngozi Crawford	2/25/25	22	Adamawa	Mobile SIM Card	Male	2	Fair	6	20GB Monthly Plan	" ?7,500 "	15	" ?112,500 "	53.41	No	
CUST0015	Abubakar Garner	3/25/25	70	Yobe	Broadband MiFi	Male	2	Fair	13	30GB Monthly Broadband Plan	" ?9,000 "	16	" ?144,000 "	10.5	No	
CUST0015	Abubakar Garner	3/25/25	70	Yobe	5G Broadband Router	Male	2	Fair	13	300GB FUP Monthly Unlimited	" ?30,000 "	17	" ?510,000 "	11.85	No	
CUST0015	Abubakar Garner	3/25/25	70	Yobe	4G Router	Male	2	Fair	13	65GB Monthly Plan	" ?16,000 "	3	" ?48,000 "	170.34	No	
CUST0016	Kunle Ford	2/25/25	46	Kebbi	Broadband MiFi	Male	5	Excellent	57	300GB FUP Monthly Unlimited	" ?30,000 "	11	" ?330,000 "	41.25	No	
CUST0016	Kunle Ford	2/25/25	46	Kebbi	4G Router	Male	5	Excellent	57	10GB+10mins Monthly Plan	" ?4,500 "	5	" ?22,500 "	53.49	No	
CUST0016	Kunle Ford	2/25/25	46	Kebbi	5G Broadband Router	Male	5	Excellent	57	120GB Monthly Broadband Plan	" ?24,000 "	3	" ?72,000 "	91.72	No	
CUST0017	Tunde Hayes	2/25/25	74	Anambra	4G Router	Male	5	Excellent	35	25GB Monthly Plan	" ?9,000 "	15	" ?135,000 "	57.35	Yes	Costly Data Plans
CUST0018	David Fletcher	3/25/25	54	Bauchi	5G Broadband Router	Male	1	Poor	43	150GB FUP Monthly Unlimited	" ?20,000 "	18	" ?360,000 "	178	No	
CUST0019	Obinna Wright	3/25/25	50	Cross River	Mobile SIM Card	Male	2	Fair	46	2.5GB 2-Day Plan	 ?900 	14	" ?12,600 "	18.91	No	
CUST0019	Obinna Wright	3/25/25	50	Cross River	4G Router	Male	2	Fair	46	25GB Monthly Plan	" ?9,000 "	11	" ?99,000 "	9.3	No	
CUST0020	Amaka Reed	3/25/25	49	Abuja (FCT)	4G Router	Female	5	Excellent	36	25GB Monthly Plan	" ?9,000 "	5	" ?45,000 "	116.71	Yes	Poor Network
CUST0020	Amaka Reed	3/25/25	49	Abuja (FCT)	5G Broadband Router	Female	5	Excellent	36	450GB 3-Month Broadband Plan	" ?75,000 "	10	" ?750,000 "	25.93	Yes	Poor Network
CUST0020	Amaka Reed	3/25/25	49	Abuja (FCT)	Broadband MiFi	Female	5	Excellent	36	300GB FUP Monthly Unlimited	" ?30,000 "	2	" ?60,000 "	179.85	Yes	Poor Network
CUST0021	Oghene Brown	3/25/25	42	Imo	Mobile SIM Card	Male	5	Excellent	23	10GB+10mins Monthly Plan	" ?4,500 "	1	" ?4,500 "	176.34	No	
CUST0022	Shehu Ferguson	2/25/25	58	Kogi	Mobile SIM Card	Male	1	Poor	18	500MB Daily Plan	 ?350 	15	" ?5,250 "	40.31	No	
CUST0023	Oghene Vazquez	2/25/25	55	Osun	5G Broadband Router	Male	4	Very Good	2	200GB Monthly Broadband Plan	" ?25,000 "	13	" ?325,000 "	128.48	No	
CUST0024	David Johnson	3/25/25	58	Kano	Broadband MiFi	Male	2	Fair	57	120GB Monthly Broadband Plan	" ?24,000 "	11	" ?264,000 "	87.2	No	
CUST0024	David Johnson	3/25/25	58	Kano	Mobile SIM Card	Male	2	Fair	57	20GB Monthly Plan	" ?7,500 "	17	" ?127,500 "	121.44	No	
CUST0025	Ifeanyi Brown	3/25/25	65	Benue	4G Router	Female	1	Poor	3	65GB Monthly Plan	" ?16,000 "	11	" ?176,000 "	189.8	No	
CUST0025	Ifeanyi Brown	3/25/25	65	Benue	Mobile SIM Card	Female	1	Poor	3	7GB Monthly Plan	" ?3,500 "	4	" ?14,000 "	132.85	No	
CUST0025	Ifeanyi Brown	3/25/25	65	Benue	5G Broadband Router	Female	1	Poor	3	120GB Monthly Broadband Plan	" ?24,000 "	14	" ?336,000 "	101.67	No	
CUST0026	Ese Simmons	3/25/25	67	Cross River	5G Broadband Router	Male	4	Very Good	13	450GB 3-Month Broadband Plan	" ?75,000 "	1	" ?75,000 "	109.81	No	
CUST0027	Maryam Reyes	3/25/25	52	Ondo	4G Router	Female	4	Very Good	51	10GB+10mins Monthly Plan	" ?4,500 "	10	" ?45,000 "	131.94	No	
CUST0027	Maryam Reyes	3/25/25	52	Ondo	5G Broadband Router	Female	4	Very Good	51	200GB Monthly Broadband Plan	" ?25,000 "	8	" ?200,000 "	19.13	No	
CUST0027	Maryam Reyes	3/25/25	52	Ondo	Mobile SIM Card	Female	4	Very Good	51	1GB+1.5mins Daily Plan	 ?500 	7	" ?3,500 "	45.32	No	
CUST0028	Obinna Sanchez	1/25/25	19	Rivers	Mobile SIM Card	Male	4	Very Good	31	10GB+10mins Monthly Plan	" ?4,500 "	5	" ?22,500 "	80.23	No	
CUST0028	Obinna Sanchez	1/25/25	19	Rivers	Mobile SIM Card	Male	4	Very Good	31	2.5GB 2-Day Plan	 ?900 	4	" ?3,600 "	178.59	No	
CUST0029	Boma Franco	2/25/25	44	Enugu	5G Broadband Router	Female	1	Poor	4	450GB 3-Month Broadband Plan	" ?75,000 "	18	" ?1,350,000 "	166.2	No	
CUST0029	Boma Franco	2/25/25	44	Enugu	4G Router	Female	1	Poor	4	165GB Monthly Plan	" ?35,000 "	16	" ?560,000 "	179.49	No	
CUST0030	Alabo Davis	3/25/25	49	Imo	5G Broadband Router	Female	2	Fair	50	200GB Monthly Broadband Plan	" ?25,000 "	18	" ?450,000 "	64.28	Yes	Poor Network
CUST0030	Alabo Davis	3/25/25	49	Imo	Broadband MiFi	Female	2	Fair	50	30GB Monthly Broadband Plan	" ?9,000 "	8	" ?72,000 "	28.11	Yes	Poor Network
CUST0030	Alabo Davis	3/25/25	49	Imo	4G Router	Female	2	Fair	50	165GB Monthly Plan	" ?35,000 "	7	" ?245,000 "	138.94	Yes	Poor Network
CUST0031	Kunle West	3/25/25	69	Kogi	Mobile SIM Card	Female	4	Very Good	35	2.5GB 2-Day Plan	 ?900 	19	" ?17,100 "	171.42	Yes	Better Offers from Competitors
CUST0031	Kunle West	2/25/25	69	Kogi	5G Broadband Router	Female	4	Very Good	35	450GB 3-Month Broadband Plan	" ?75,000 "	12	" ?900,000 "	95.66	Yes	Better Offers from Competitors
CUST0032	Maryam Terry	2/25/25	65	Kogi	Mobile SIM Card	Male	3	Good	32	7GB Monthly Plan	" ?3,500 "	13	" ?45,500 "	133.94	No	
CUST0033	Amina Mosley	2/25/25	75	Borno	Broadband MiFi	Male	5	Excellent	59	60GB Monthly Broadband Plan	" ?14,500 "	15	" ?217,500 "	27.57	No	
CUST0034	Shehu Anderson	2/25/25	22	Edo	5G Broadband Router	Female	4	Very Good	21	120GB Monthly Broadband Plan	" ?24,000 "	16	" ?384,000 "	167.06	No	
CUST0034	Shehu Anderson	2/25/25	22	Edo	Mobile SIM Card	Female	4	Very Good	21	65GB Monthly Plan	" ?16,000 "	2	" ?32,000 "	149.93	No	
CUST0035	Oghene Mcguire	1/25/25	44	Kaduna	4G Router	Male	2	Fair	49	165GB Monthly Plan	" ?35,000 "	19	" ?665,000 "	134.06	Yes	Poor Network
CUST0035	Oghene Mcguire	1/25/25	44	Kaduna	Broadband MiFi	Male	2	Fair	49	150GB FUP Monthly Unlimited	" ?20,000 "	9	" ?180,000 "	93.27	Yes	Poor Network
CUST0035	Oghene Mcguire	1/25/25	44	Kaduna	5G Broadband Router	Male	2	Fair	49	200GB Monthly Broadband Plan	" ?25,000 "	20	" ?500,000 "	33.97	Yes	Poor Network
CUST0036	Ifeanyi Randall	1/25/25	36	Abia	Mobile SIM Card	Male	3	Good	38	500MB Daily Plan	 ?350 	8	" ?2,800 "	15.66	No	
CUST0036	Ifeanyi Randall	1/25/25	36	Abia	5G Broadband Router	Male	3	Good	38	150GB FUP Monthly Unlimited	" ?20,000 "	10	" ?200,000 "	139.59	No	
CUST0037	Ifeanyi Ruiz	3/25/25	21	Ekiti	Broadband MiFi	Female	1	Poor	43	60GB Monthly Broadband Plan	" ?14,500 "	12	" ?174,000 "	21.56	No	
CUST0037	Ifeanyi Ruiz	3/25/25	21	Ekiti	4G Router	Female	1	Poor	43	165GB Monthly Plan	" ?35,000 "	14	" ?490,000 "	141.61	No	
CUST0038	Shehu Randall	2/25/25	50	Adamawa	Broadband MiFi	Female	5	Excellent	30	300GB FUP Monthly Unlimited	" ?30,000 "	8	" ?240,000 "	176.39	Yes	Better Offers from Competitors
CUST0039	Zina Green	3/25/25	64	Bayelsa	5G Broadband Router	Male	2	Fair	32	120GB Monthly Broadband Plan	" ?24,000 "	9	" ?216,000 "	176.12	No	
CUST0039	Zina Green	3/25/25	64	Bayelsa	Mobile SIM Card	Male	2	Fair	32	65GB Monthly Plan	" ?16,000 "	7	" ?112,000 "	103.57	No	
CUST0040	Chinedu Ruiz	2/25/25	46	Kogi	Mobile SIM Card	Female	4	Very Good	36	3.2GB 2-Day Plan	" ?1,000 "	13	" ?13,000 "	59.2	No	
CUST0040	Chinedu Ruiz	2/25/25	46	Kogi	Broadband MiFi	Female	4	Very Good	36	150GB FUP Monthly Unlimited	" ?20,000 "	19	" ?380,000 "	61.59	No	
CUST0041	Ejiro Mason	3/25/25	76	Bauchi	5G Broadband Router	Female	3	Good	28	60GB Monthly Broadband Plan	" ?14,500 "	7	" ?101,500 "	24.57	No	
CUST0041	Ejiro Mason	3/25/25	76	Bauchi	Mobile SIM Card	Female	3	Good	28	25GB Monthly Plan	" ?9,000 "	18	" ?162,000 "	24.35	No	
CUST0042	Shehu Hoffman	3/25/25	40	Ondo	4G Router	Female	1	Poor	18	10GB+10mins Monthly Plan	" ?4,500 "	18	" ?81,000 "	60.8	No	
CUST0042	Shehu Hoffman	3/25/25	40	Ondo	Mobile SIM Card	Female	1	Poor	18	1.5GB 2-Day Plan	 ?600 	2	" ?1,200 "	55.23	No	
CUST0043	Abubakar Johnson	1/25/25	32	Yobe	5G Broadband Router	Male	5	Excellent	56	30GB Monthly Broadband Plan	" ?9,000 "	16	" ?144,000 "	50.87	Yes	Fast Data Consumption
CUST0043	Abubakar Johnson	1/25/25	32	Yobe	Broadband MiFi	Male	5	Excellent	56	30GB Monthly Broadband Plan	" ?9,000 "	13	" ?117,000 "	164.51	Yes	Fast Data Consumption
CUST0044	Grace Walker	3/25/25	25	Oyo	Mobile SIM Card	Male	1	Poor	10	500MB Daily Plan	 ?350 	13	" ?4,550 "	155.25	No	
CUST0045	Alabo Thompson	1/25/25	72	Abia	4G Router	Female	5	Excellent	20	10GB+10mins Monthly Plan	" ?4,500 "	3	" ?13,500 "	53.3	No	
CUST0046	Amina Wright	1/25/25	46	Enugu	Mobile SIM Card	Male	4	Very Good	11	500MB Daily Plan	 ?350 	10	" ?3,500 "	57.98	No	
CUST0046	Amina Wright	1/25/25	46	Enugu	4G Router	Male	4	Very Good	11	165GB Monthly Plan	" ?35,000 "	8	" ?280,000 "	14.7	No	
CUST0046	Amina Wright	1/25/25	46	Enugu	Broadband MiFi	Male	4	Very Good	11	300GB FUP Monthly Unlimited	" ?30,000 "	19	" ?570,000 "	157.67	No	
CUST0047	Bala Christian	2/25/25	70	Delta	Broadband MiFi	Male	3	Good	42	150GB FUP Monthly Unlimited	" ?20,000 "	20	" ?400,000 "	158.63	No	
CUST0048	Abubakar Gentry	3/25/25	72	Delta	Mobile SIM Card	Female	4	Very Good	45	2.5GB 2-Day Plan	 ?900 	11	" ?9,900 "	177.94	No	
CUST0048	Abubakar Gentry	3/25/25	72	Delta	4G Router	Female	4	Very Good	45	25GB Monthly Plan	" ?9,000 "	8	" ?72,000 "	5.66	No	
CUST0048	Abubakar Gentry	3/25/25	72	Delta	Broadband MiFi	Female	4	Very Good	45	120GB Monthly Broadband Plan	" ?24,000 "	1	" ?24,000 "	117.63	No	
CUST0049	Zainab Taylor	2/25/25	21	Enugu	Mobile SIM Card	Female	3	Good	34	12.5GB Monthly Plan	" ?5,500 "	11	" ?60,500 "	69.92	Yes	Relocation
CUST0049	Zainab Taylor	2/25/25	21	Enugu	Broadband MiFi	Female	3	Good	34	300GB FUP Monthly Unlimited	" ?30,000 "	6	" ?180,000 "	134.19	Yes	Relocation
CUST0050	Tega Stevens	2/25/25	68	Yobe	5G Broadband Router	Female	5	Excellent	43	150GB FUP Monthly Unlimited	" ?20,000 "	13	" ?260,000 "	194.05	Yes	Poor Network
CUST0050	Tega Stevens	2/25/25	68	Yobe	4G Router	Female	5	Excellent	43	65GB Monthly Plan	" ?16,000 "	18	" ?288,000 "	131.7	Yes	Poor Network
CUST0051	Zina Carter	3/25/25	68	Oyo	Mobile SIM Card	Male	5	Excellent	34	1GB+1.5mins Daily Plan	 ?500 	10	" ?5,000 "	110.07	No	
CUST0051	Zina Carter	3/25/25	68	Oyo	Broadband MiFi	Male	5	Excellent	34	60GB Monthly Broadband Plan	" ?14,500 "	16	" ?232,000 "	176.23	No	
CUST0051	Zina Carter	3/25/25	68	Oyo	5G Broadband Router	Male	5	Excellent	34	150GB FUP Monthly Unlimited	" ?20,000 "	20	" ?400,000 "	6.26	No	
CUST0052	Halima Johnston	2/25/25	36	Abia	Mobile SIM Card	Male	1	Poor	36	3.2GB 2-Day Plan	" ?1,000 "	5	" ?5,000 "	129.72	Yes	Better Offers from Competitors
CUST0053	Grace Christensen	2/25/25	53	Zamfara	Mobile SIM Card	Female	4	Very Good	27	500MB Daily Plan	 ?350 	17	" ?5,950 "	184.41	Yes	Relocation
CUST0054	Amaka Potter	3/25/25	24	Akwa Ibom	Mobile SIM Card	Female	1	Poor	22	16.5GB+10mins Monthly Plan	" ?6,500 "	11	" ?71,500 "	97.13	Yes	Costly Data Plans
CUST0054	Amaka Potter	3/25/25	24	Akwa Ibom	Broadband MiFi	Female	1	Poor	22	120GB Monthly Broadband Plan	" ?24,000 "	13	" ?312,000 "	152.69	Yes	Costly Data Plans
CUST0054	Amaka Potter	3/25/25	24	Akwa Ibom	Mobile SIM Card	Female	1	Poor	22	165GB Monthly Plan	" ?35,000 "	7	" ?245,000 "	186.6	Yes	Costly Data Plans
CUST0055	Halima Smith	3/25/25	65	Osun	Mobile SIM Card	Female	4	Very Good	3	1.5GB 2-Day Plan	 ?600 	2	" ?1,200 "	99.32	No	
CUST0055	Halima Smith	3/25/25	65	Osun	5G Broadband Router	Female	4	Very Good	3	300GB FUP Monthly Unlimited	" ?30,000 "	19	" ?570,000 "	100.71	No	
CUST0056	Tega Daniels	2/25/25	28	Nasarawa	Mobile SIM Card	Male	1	Poor	34	165GB Monthly Plan	" ?35,000 "	9	" ?315,000 "	156.41	No	
CUST0056	Tega Daniels	2/25/25	28	Nasarawa	Broadband MiFi	Male	1	Poor	34	300GB FUP Monthly Unlimited	" ?30,000 "	13	" ?390,000 "	124.84	No	
CUST0057	Chinedu Davis	2/25/25	58	Adamawa	5G Broadband Router	Female	5	Excellent	21	60GB Monthly Broadband Plan	" ?14,500 "	14	" ?203,000 "	149.48	Yes	Poor Network
CUST0058	Ngozi Brown	3/25/25	28	Nasarawa	5G Broadband Router	Male	1	Poor	45	200GB Monthly Broadband Plan	" ?25,000 "	5	" ?125,000 "	75.28	Yes	Better Offers from Competitors
CUST0059	Halima Williams	1/25/25	68	Enugu	4G Router	Male	5	Excellent	12	10GB+10mins Monthly Plan	" ?4,500 "	9	" ?40,500 "	92.5	No	
CUST0059	Halima Williams	1/25/25	68	Enugu	Mobile SIM Card	Male	5	Excellent	12	12.5GB Monthly Plan	" ?5,500 "	1	" ?5,500 "	51.44	No	
CUST0059	Halima Williams	1/25/25	68	Enugu	Broadband MiFi	Male	5	Excellent	12	60GB Monthly Broadband Plan	" ?14,500 "	18	" ?261,000 "	180.29	No	
CUST0060	Amina Payne	3/25/25	25	Nasarawa	5G Broadband Router	Female	4	Very Good	38	450GB 3-Month Broadband Plan	" ?75,000 "	4	" ?300,000 "	170.74	No	
CUST0060	Amina Payne	3/25/25	25	Nasarawa	Broadband MiFi	Female	4	Very Good	38	150GB FUP Monthly Unlimited	" ?20,000 "	12	" ?240,000 "	76.58	No	
CUST0061	Abubakar Ewing	1/25/25	53	Kano	Broadband MiFi	Female	5	Excellent	18	300GB FUP Monthly Unlimited	" ?30,000 "	8	" ?240,000 "	155.26	No	
CUST0061	Abubakar Ewing	1/25/25	53	Kano	5G Broadband Router	Female	5	Excellent	18	200GB Monthly Broadband Plan	" ?25,000 "	7	" ?175,000 "	44.19	No	
CUST0061	Abubakar Ewing	1/25/25	53	Kano	4G Router	Female	5	Excellent	18	25GB Monthly Plan	" ?9,000 "	5	" ?45,000 "	135.71	No	
CUST0062	Ngozi Henson	3/25/25	21	Abia	Mobile SIM Card	Female	2	Fair	3	500MB Daily Plan	 ?350 	18	" ?6,300 "	26.87	Yes	Costly Data Plans
CUST0062	Ngozi Henson	3/25/25	21	Abia	Broadband MiFi	Female	2	Fair	3	300GB FUP Monthly Unlimited	" ?30,000 "	9	" ?270,000 "	106.41	Yes	Costly Data Plans
CUST0063	Amina Flores	3/25/25	48	Taraba	4G Router	Female	1	Poor	48	10GB+10mins Monthly Plan	" ?4,500 "	13	" ?58,500 "	172.1	No	
CUST0064	Ejiro Ford	1/25/25	27	Kebbi	5G Broadband Router	Male	4	Very Good	17	200GB Monthly Broadband Plan	" ?25,000 "	8	" ?200,000 "	22.12	No	
CUST0064	Ejiro Ford	1/25/25	27	Kebbi	Mobile SIM Card	Male	4	Very Good	17	12.5GB Monthly Plan	" ?5,500 "	18	" ?99,000 "	5.49	No	
CUST0064	Ejiro Ford	1/25/25	27	Kebbi	4G Router	Male	4	Very Good	17	25GB Monthly Plan	" ?9,000 "	8	" ?72,000 "	183.09	No	
CUST0065	Kunle Shaw	2/25/25	75	Abia	Mobile SIM Card	Female	1	Poor	8	3.2GB 2-Day Plan	" ?1,000 "	18	" ?18,000 "	47.34	No	
CUST0065	Kunle Shaw	2/25/25	75	Abia	Broadband MiFi	Female	1	Poor	8	150GB FUP Monthly Unlimited	" ?20,000 "	12	" ?240,000 "	78.03	No	
CUST0066	David Schneider	1/25/25	69	Plateau	Broadband MiFi	Female	4	Very Good	42	300GB FUP Monthly Unlimited	" ?30,000 "	15	" ?450,000 "	43.85	No	
CUST0066	David Schneider	1/25/25	69	Plateau	5G Broadband Router	Female	4	Very Good	42	60GB Monthly Broadband Plan	" ?14,500 "	4	" ?58,000 "	171.16	No	
CUST0067	Ejiro Smith	2/25/25	61	Oyo	Broadband MiFi	Female	1	Poor	18	150GB FUP Monthly Unlimited	" ?20,000 "	20	" ?400,000 "	128.52	No	
CUST0067	Ejiro Smith	2/25/25	61	Oyo	5G Broadband Router	Female	1	Poor	18	30GB Monthly Broadband Plan	" ?9,000 "	11	" ?99,000 "	10.59	No	
CUST0068	Halima Anderson	2/25/25	32	Ondo	5G Broadband Router	Male	5	Excellent	54	300GB FUP Monthly Unlimited	" ?30,000 "	20	" ?600,000 "	157.83	Yes	Better Offers from Competitors
CUST0069	Tunde Oliver	3/25/25	51	Plateau	4G Router	Male	2	Fair	35	65GB Monthly Plan	" ?16,000 "	8	" ?128,000 "	71.97	Yes	Better Offers from Competitors
CUST0070	Ese Obrien	2/25/25	18	Enugu	4G Router	Female	4	Very Good	4	10GB+10mins Monthly Plan	" ?4,500 "	4	" ?18,000 "	102.89	No	
CUST0071	Alabo Keith	3/25/25	80	Osun	Broadband MiFi	Male	4	Very Good	47	60GB Monthly Broadband Plan	" ?14,500 "	14	" ?203,000 "	169.54	No	
CUST0072	Ngozi Hernandez	1/25/25	78	Nasarawa	4G Router	Male	3	Good	58	25GB Monthly Plan	" ?9,000 "	19	" ?171,000 "	125.05	No	
CUST0073	Ese Flowers	2/25/25	64	Bauchi	Mobile SIM Card	Female	1	Poor	30	165GB Monthly Plan	" ?35,000 "	8	" ?280,000 "	90.59	No	
CUST0074	Ibim Marshall	1/25/25	59	Sokoto	5G Broadband Router	Female	3	Good	27	1.5TB Yearly Broadband Plan	" ?150,000 "	3	" ?450,000 "	13.89	No	
CUST0074	Ibim Marshall	1/25/25	59	Sokoto	4G Router	Female	3	Good	27	65GB Monthly Plan	" ?16,000 "	12	" ?192,000 "	86.66	No	
CUST0074	Ibim Marshall	1/25/25	59	Sokoto	Broadband MiFi	Female	3	Good	27	150GB FUP Monthly Unlimited	" ?20,000 "	19	" ?380,000 "	111.5	No	
CUST0075	Tega Medina	2/25/25	31	Kogi	5G Broadband Router	Female	1	Poor	56	60GB Monthly Broadband Plan	" ?14,500 "	16	" ?232,000 "	31.37	No	
CUST0075	Tega Medina	2/25/25	31	Kogi	4G Router	Female	1	Poor	56	10GB+10mins Monthly Plan	" ?4,500 "	12	" ?54,000 "	169.53	No	
CUST0075	Tega Medina	2/25/25	31	Kogi	Broadband MiFi	Female	1	Poor	56	120GB Monthly Broadband Plan	" ?24,000 "	9	" ?216,000 "	73.83	No	
CUST0076	Nura Mcneil	2/25/25	70	Kano	5G Broadband Router	Female	3	Good	2	30GB Monthly Broadband Plan	" ?9,000 "	5	" ?45,000 "	36.69	No	
CUST0076	Nura Mcneil	2/25/25	70	Kano	4G Router	Female	3	Good	2	165GB Monthly Plan	" ?35,000 "	1	" ?35,000 "	14.38	No	
CUST0077	Chinedu Pitts	3/25/25	43	Jigawa	5G Broadband Router	Female	2	Fair	30	30GB Monthly Broadband Plan	" ?9,000 "	20	" ?180,000 "	31.54	No	
CUST0077	Chinedu Pitts	3/25/25	43	Jigawa	Mobile SIM Card	Female	2	Fair	30	2.5GB 2-Day Plan	 ?900 	9	" ?8,100 "	134.96	No	
CUST0077	Chinedu Pitts	3/25/25	43	Jigawa	Broadband MiFi	Female	2	Fair	30	60GB Monthly Broadband Plan	" ?14,500 "	16	" ?232,000 "	132.56	No	
CUST0078	Alabo Kelly	1/25/25	69	Akwa Ibom	Mobile SIM Card	Male	3	Good	49	1GB+1.5mins Daily Plan	 ?500 	13	" ?6,500 "	9.56	No	
CUST0078	Alabo Kelly	1/25/25	69	Akwa Ibom	5G Broadband Router	Male	3	Good	49	30GB Monthly Broadband Plan	" ?9,000 "	10	" ?90,000 "	2.03	No	
CUST0079	Fatima Pennington	1/25/25	33	Edo	Mobile SIM Card	Female	1	Poor	21	165GB Monthly Plan	" ?35,000 "	8	" ?280,000 "	106.75	No	
CUST0079	Fatima Pennington	1/25/25	33	Edo	Broadband MiFi	Female	1	Poor	21	120GB Monthly Broadband Plan	" ?24,000 "	12	" ?288,000 "	111.97	No	
CUST0080	Kunle Williams	2/25/25	66	Rivers	Mobile SIM Card	Female	1	Poor	2	20GB Monthly Plan	" ?7,500 "	13	" ?97,500 "	58.26	No	
CUST0080	Kunle Williams	2/25/25	66	Rivers	5G Broadband Router	Female	1	Poor	2	30GB Monthly Broadband Plan	" ?9,000 "	6	" ?54,000 "	193.26	No	
CUST0080	Kunle Williams	2/25/25	66	Rivers	4G Router	Female	1	Poor	2	165GB Monthly Plan	" ?35,000 "	12	" ?420,000 "	166.49	No	
